letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight
MNW_Average-Regular_Approach1,29,3,0,14,49
MNW_Average-Regular_Approach1,37,4,0,14,49
MNW_Average-Regular_Approach1,12,1,0,14,49
MNW_Average-Regular_Approach1,21,2,0,14,49
MNW_Average-Regular_Approach1,41,5,0,14,49
MNW_Average-Regular_Approach1,43,6,0,14,49
MNW_Average-Regular_Approach1,47,8,0,14,49
MNW_Average-Regular_Approach1,45,7,0,14,49
MP_Average-Regular_Approach1,18,3,0,6,18
MP_Average-Regular_Approach1,6,1,0,6,18
MP_Average-Regular_Approach1,12,2,0,6,18
MY_Average-Regular_Approach1,11,2,0,4,11
MY_Average-Regular_Approach1,6,1,0,4,11
NB_Average-Regular_Approach1,13,3,0,5,13
NB_Average-Regular_Approach1,7,1,0,5,13
NB_Average-Regular_Approach1,11,2,0,5,13
ND_Average-Regular_Approach1,12,2,0,4,12
ND_Average-Regular_Approach1,8,1,0,4,12
NJY_Average-Regular_Approach1,33,4,0,12,40
NJY_Average-Regular_Approach1,15,1,0,12,40
NJY_Average-Regular_Approach1,23,2,0,12,40
NJY_Average-Regular_Approach1,30,3,0,12,40
NPP_Average-Regular_Approach1,13,3,0,5,13
NPP_Average-Regular_Approach1,7,1,0,5,13
NPP_Average-Regular_Approach1,11,2,0,5,13
NUO_Average-Regular_Approach1,20,7,0,9,22
NUO_Average-Regular_Approach1,18,6,0,9,22
NUO_Average-Regular_Approach1,14,4,0,9,22
NUO_Average-Regular_Approach1,6,1,0,9,22
NUO_Average-Regular_Approach1,9,2,0,9,22
NUO_Average-Regular_Approach1,16,5,0,9,22
NUO_Average-Regular_Approach1,12,3,0,9,22
NWF_Average-Regular_Approach1,35,7,0,10,35
NWF_Average-Regular_Approach1,17,2,0,10,35
NWF_Average-Regular_Approach1,25,3,0,10,35
NWF_Average-Regular_Approach1,9,1,0,10,35
NWF_Average-Regular_Approach1,28,4,0,10,35
NWF_Average-Regular_Approach1,31,5,0,10,35
NWF_Average-Regular_Approach1,33,6,0,10,35
NWW_Average-Regular_Approach1,49,9,0,14,49
NWW_Average-Regular_Approach1,33,4,0,14,49
NWW_Average-Regular_Approach1,17,2,0,14,49
NWW_Average-Regular_Approach1,25,3,0,14,49
NWW_Average-Regular_Approach1,41,5,0,14,49
NWW_Average-Regular_Approach1,9,1,0,14,49
NWW_Average-Regular_Approach1,43,6,0,14,49
NWW_Average-Regular_Approach1,47,8,0,14,49
NWW_Average-Regular_Approach1,45,7,0,14,49
O_Average-Regular_Approach1,4,2,0,2,4
O_Average-Regular_Approach1,2,1,0,2,4
OGB_Average-Regular_Approach1,9,2,0,4,9
OGB_Average-Regular_Approach1,5,1,0,4,9
OGW_Average-Regular_Approach1,21,4,0,6,21
OGW_Average-Regular_Approach1,9,1,0,6,21
OGW_Average-Regular_Approach1,17,2,0,6,21
OGW_Average-Regular_Approach1,19,3,0,6,21
OMJ_Average-Regular_Approach1,20,4,0,8,20
OMJ_Average-Regular_Approach1,13,2,0,8,20
OMJ_Average-Regular_Approach1,7,1,0,8,20
OMJ_Average-Regular_Approach1,17,3,0,8,20
OPN_Average-Regular_Approach1,10,2,0,4,12
OPN_Average-Regular_Approach1,8,1,0,4,12
PAZ_Average-Regular_Approach1,16,3,0,5,16
PAZ_Average-Regular_Approach1,10,1,0,5,16
PAZ_Average-Regular_Approach1,14,2,0,5,16
PJW_Average-Regular_Approach1,43,9,0,14,43
PJW_Average-Regular_Approach1,21,2,0,14,43
PJW_Average-Regular_Approach1,12,1,0,14,43
PJW_Average-Regular_Approach1,27,3,0,14,43
PJW_Average-Regular_Approach1,31,4,0,14,43
PJW_Average-Regular_Approach1,37,6,0,14,43
PJW_Average-Regular_Approach1,39,7,0,14,43
PJW_Average-Regular_Approach1,41,8,0,14,43
PJW_Average-Regular_Approach1,35,5,0,14,43
PQW_Average-Regular_Approach1,29,7,0,9,29
PQW_Average-Regular_Approach1,17,2,0,9,29
PQW_Average-Regular_Approach1,9,1,0,9,29
PQW_Average-Regular_Approach1,23,4,0,9,29
PQW_Average-Regular_Approach1,27,6,0,9,29
