letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates,all_candidates_y
DGC_Average-Regular_Approach1,4,1,0,9,20,250,250
DGC_Average-Regular_Approach1,14,4,0,9,20,250,250
DGC_Average-Regular_Approach1,12,3,0,9,20,250,250
DGH_Average-Regular_Approach1,4,1,0,3,8,300,300
DI_Average-Regular_Approach1,4,1,0,2,4,158,158
DIH_Average-Regular_Approach1,4,1,0,2,4,258,258
DJI_Average-Regular_Approach1,8,2,0,4,8,218,218
DJI_Average-Regular_Approach1,4,1,0,4,8,218,218
DMF_Average-Regular_Approach1,20,4,0,8,20,304,304
DMF_Average-Regular_Approach1,12,1,0,8,20,304,304
DMF_Average-Regular_Approach1,16,2,0,8,20,304,304
DMF_Average-Regular_Approach1,18,3,0,8,20,304,304
DMP_Average-Regular_Approach1,25,4,0,9,25,286,286
DMP_Average-Regular_Approach1,9,1,0,9,25,286,286
DMP_Average-Regular_Approach1,17,2,0,9,25,286,286
DMP_Average-Regular_Approach1,23,3,0,9,25,286,286
DP_Average-Regular_Approach1,8,3,0,4,8,184,184
DP_Average-Regular_Approach1,4,1,0,4,8,184,184
DP_Average-Regular_Approach1,6,2,0,4,8,184,184
DU_Average-Regular_Approach1,4,2,0,2,4,202,202
DU_Average-Regular_Approach1,2,1,0,2,4,202,202
DV_Average-Regular_Approach1,9,1,0,2,9,164,164
EDH_Average-Regular_Approach1,14,3,0,6,14,336,336
EDH_Average-Regular_Approach1,8,1,0,6,14,336,336
EDH_Average-Regular_Approach1,12,2,0,6,14,336,336
EHX_Average-Regular_Approach1,24,4,0,8,24,344,344
EHX_Average-Regular_Approach1,20,3,0,8,24,344,344
EHX_Average-Regular_Approach1,7,1,0,8,24,344,344
EHX_Average-Regular_Approach1,14,2,0,8,24,344,344
EL_Average-Regular_Approach1,10,2,0,4,10,174,174
EL_Average-Regular_Approach1,8,1,0,4,10,174,174
EOB_Average-Regular_Approach1,11,3,0,6,13,268,268
EOB_Average-Regular_Approach1,5,1,0,6,13,268,268
EOB_Average-Regular_Approach1,9,2,0,6,13,268,268
EP_Average-Regular_Approach1,10,2,0,4,10,186,186
EP_Average-Regular_Approach1,8,1,0,4,10,186,186
ER_Average-Regular_Approach1,7,2,0,3,7,200,200
ER_Average-Regular_Approach1,5,1,0,3,7,200,200
ETC_Average-Regular_Approach1,12,2,0,6,12,266,266
ETC_Average-Regular_Approach1,8,1,0,6,12,266,266
EU_Average-Regular_Approach1,17,4,0,7,17,210,210
EU_Average-Regular_Approach1,6,1,0,7,17,210,210
EU_Average-Regular_Approach1,12,2,0,7,17,210,210
EU_Average-Regular_Approach1,15,3,0,7,17,210,210
EVG_Average-Regular_Approach1,10,2,0,3,10,268,268
EVG_Average-Regular_Approach1,8,1,0,3,10,268,268
FHP_Average-Regular_Approach1,19,4,0,8,21,292,292
FHP_Average-Regular_Approach1,8,1,0,8,21,292,292
FHP_Average-Regular_Approach1,17,3,0,8,21,292,292
FHP_Average-Regular_Approach1,14,2,0,8,21,292,292
FL_Average-Regular_Approach1,13,2,0,4,13,174,174
FL_Average-Regular_Approach1,7,1,0,4,13,174,174
FPJ_Average-Regular_Approach1,21,4,0,7,21,232,232
FPJ_Average-Regular_Approach1,13,2,0,7,21,232,232
FPJ_Average-Regular_Approach1,7,1,0,7,21,232,232
FPJ_Average-Regular_Approach1,19,3,0,7,21,232,232
FSB_Average-Regular_Approach1,14,2,0,7,14,260,260
FSB_Average-Regular_Approach1,8,1,0,7,14,260,260
FUX_Average-Regular_Approach1,5,1,0,2,5,308,308
GC_Average-Regular_Approach1,12,4,0,6,12,156,156
GC_Average-Regular_Approach1,4,1,0,6,12,156,156
GC_Average-Regular_Approach1,10,3,0,6,12,156,156
GC_Average-Regular_Approach1,8,2,0,6,12,156,156
GD_Average-Regular_Approach1,4,1,0,2,4,158,158
GEZ_Average-Regular_Approach1,5,1,0,2,5,220,220
GHJ_Average-Regular_Approach1,22,4,0,10,24,262,262
GHJ_Average-Regular_Approach1,10,1,0,10,24,262,262
GHJ_Average-Regular_Approach1,16,2,0,10,24,262,262
GHJ_Average-Regular_Approach1,20,3,0,10,24,262,262
GM_Average-Regular_Approach1,9,2,0,3,9,182,182
GM_Average-Regular_Approach1,7,1,0,3,9,182,182
GMU_Average-Regular_Approach1,12,5,0,6,12,266,266
GMU_Average-Regular_Approach1,4,1,0,6,12,266,266
GMU_Average-Regular_Approach1,10,4,0,6,12,266,266
GMU_Average-Regular_Approach1,6,2,0,6,12,266,266
GMU_Average-Regular_Approach1,8,3,0,6,12,266,266
GPS_Average-Regular_Approach1,13,4,0,5,13,214,214
GPS_Average-Regular_Approach1,5,1,0,5,13,214,214
GPS_Average-Regular_Approach1,9,2,0,5,13,214,214
GPS_Average-Regular_Approach1,11,3,0,5,13,214,214
GTB_Average-Regular_Approach1,13,3,0,6,13,274,274
GTB_Average-Regular_Approach1,5,1,0,6,13,274,274
GTB_Average-Regular_Approach1,9,2,0,6,13,274,274
GWG_Average-Regular_Approach1,20,4,0,6,20,240,240
GWG_Average-Regular_Approach1,8,1,0,6,20,240,240
GWG_Average-Regular_Approach1,18,3,0,6,20,240,240
GWG_Average-Regular_Approach1,16,2,0,6,20,240,240
HKD_Average-Regular_Approach1,16,4,0,7,19,304,304
HKD_Average-Regular_Approach1,7,1,0,7,19,304,304
HKD_Average-Regular_Approach1,11,2,0,7,19,304,304
HKD_Average-Regular_Approach1,14,3,0,7,19,304,304
HO_Average-Regular_Approach1,17,4,0,7,17,210,210
HO_Average-Regular_Approach1,11,1,0,7,17,210,210
HO_Average-Regular_Approach1,13,2,0,7,17,210,210
HO_Average-Regular_Approach1,15,3,0,7,17,210,210
HBV_Average-Regular_Approach1,16,3,0,6,19,284,284
HBV_Average-Regular_Approach1,9,1,0,6,19,284,284
HBV_Average-Regular_Approach1,13,2,0,6,19,284,284
IA_Average-Regular_Approach1,13,3,0,6,13,122,122
IA_Average-Regular_Approach1,11,2,0,6,13,122,122
IA_Average-Regular_Approach1,6,1,0,6,13,122,122
IB_Average-Regular_Approach1,2,1,0,2,4,132,132
IBY_Average-Regular_Approach1,7,2,0,4,9,216,216
IBY_Average-Regular_Approach1,5,1,0,4,9,216,216
IC_Average-Regular_Approach1,4,1,0,2,4,130,130
IN_Average-Regular_Approach1,10,1,0,3,12,136,136
IP_Average-Regular_Approach1,2,1,0,2,4,112,112
IZ_Average-Regular_Approach1,13,3,0,5,13,96,96
IZ_Average-Regular_Approach1,6,1,0,5,13,96,96
IZ_Average-Regular_Approach1,11,2,0,5,13,96,96
JA_Average-Regular_Approach1,12,4,0,5,12,136,136
JA_Average-Regular_Approach1,10,3,0,5,12,136,136
JA_Average-Regular_Approach1,8,1,0,5,12,136,136
JBR_Average-Regular_Approach1,14,2,0,6,14,254,254
JBR_Average-Regular_Approach1,12,1,0,6,14,254,254
JC_Average-Regular_Approach1,8,2,0,4,8,124,124
JC_Average-Regular_Approach1,4,1,0,4,8,124,124
JCD_Average-Regular_Approach1,12,3,0,6,12,200,200
JCD_Average-Regular_Approach1,8,2,0,6,12,200,200
JCD_Average-Regular_Approach1,4,1,0,6,12,200,200
JHR_Average-Regular_Approach1,3,1,0,2,6,270,270
JJ_Average-Regular_Approach1,4,1,0,2,4,124,124
JNY_Average-Regular_Approach1,17,2,0,4,17,244,244
JNY_Average-Regular_Approach1,10,1,0,4,17,244,244
JO_Average-Regular_Approach1,12,4,0,6,12,132,132
JO_Average-Regular_Approach1,4,1,0,6,12,132,132
JO_Average-Regular_Approach1,10,3,0,6,12,132,132
JO_Average-Regular_Approach1,8,2,0,6,12,132,132
JRA_Average-Regular_Approach1,15,3,0,6,15,230,230
JRA_Average-Regular_Approach1,6,1,0,6,15,230,230
JRA_Average-Regular_Approach1,12,2,0,6,15,230,230
KGO_Average-Regular_Approach1,18,6,0,10,20,272,272
KGO_Average-Regular_Approach1,8,2,0,10,20,272,272
KGO_Average-Regular_Approach1,4,1,0,10,20,272,272
KGO_Average-Regular_Approach1,16,5,0,10,20,272,272
KGO_Average-Regular_Approach1,12,3,0,10,20,272,272
KGO_Average-Regular_Approach1,14,4,0,10,20,272,272
KIW_Average-Regular_Approach1,46,10,0,16,46,228,228
KIW_Average-Regular_Approach1,10,1,0,16,46,228,228
KIW_Average-Regular_Approach1,19,2,0,16,46,228,228
KIW_Average-Regular_Approach1,32,4,0,16,46,228,228
KIW_Average-Regular_Approach1,36,5,0,16,46,228,228
KIW_Average-Regular_Approach1,28,3,0,16,46,228,228
KIW_Average-Regular_Approach1,44,9,0,16,46,228,228
KIW_Average-Regular_Approach1,42,8,0,16,46,228,228
KIW_Average-Regular_Approach1,40,7,0,16,46,228,228
KIW_Average-Regular_Approach1,38,6,0,16,46,228,228
KJ_Average-Regular_Approach1,17,4,0,7,17,174,174
KJ_Average-Regular_Approach1,6,1,0,7,17,174,174
KJ_Average-Regular_Approach1,11,2,0,7,17,174,174
KJ_Average-Regular_Approach1,15,3,0,7,17,174,174
KJP_Average-Regular_Approach1,13,3,0,6,15,256,256
KJP_Average-Regular_Approach1,8,1,0,6,15,256,256
KJP_Average-Regular_Approach1,12,2,0,6,15,256,256
KJQ_Average-Regular_Approach1,26,6,0,11,26,252,252
KJQ_Average-Regular_Approach1,14,2,0,11,26,252,252
KJQ_Average-Regular_Approach1,18,3,0,11,26,252,252
KJQ_Average-Regular_Approach1,8,1,0,11,26,252,252
KJQ_Average-Regular_Approach1,24,5,0,11,26,252,252
KJQ_Average-Regular_Approach1,22,4,0,11,26,252,252
KQF_Average-Regular_Approach1,14,4,0,7,14,300,300
KQF_Average-Regular_Approach1,4,1,0,7,14,300,300
KQF_Average-Regular_Approach1,8,2,0,7,14,300,300
KQF_Average-Regular_Approach1,12,3,0,7,14,300,300
LAC_Average-Regular_Approach1,14,3,0,5,14,208,208
LAC_Average-Regular_Approach1,11,2,0,5,14,208,208
LAC_Average-Regular_Approach1,9,1,0,5,14,208,208
LBP_Average-Regular_Approach1,16,3,0,7,16,252,252
LBP_Average-Regular_Approach1,10,1,0,7,16,252,252
LBP_Average-Regular_Approach1,14,2,0,7,16,252,252
LZT_Average-Regular_Approach1,20,1,0,8,26,208,208
LWC_Average-Regular_Approach1,33,6,0,11,33,228,228
LWC_Average-Regular_Approach1,10,1,0,11,33,228,228
LWC_Average-Regular_Approach1,19,2,0,11,33,228,228
LWC_Average-Regular_Approach1,31,5,0,11,33,228,228
LWC_Average-Regular_Approach1,27,3,0,11,33,228,228
LWC_Average-Regular_Approach1,29,4,0,11,33,228,228
MB_Average-Regular_Approach1,16,3,0,5,16,202,202
MB_Average-Regular_Approach1,9,1,0,5,16,202,202
MB_Average-Regular_Approach1,13,2,0,5,16,202,202
MMK_Average-Regular_Approach1,46,8,0,16,46,298,298
MMK_Average-Regular_Approach1,11,1,0,16,46,298,298
MMK_Average-Regular_Approach1,39,6,0,16,46,298,298
MMK_Average-Regular_Approach1,35,5,0,16,46,298,298
MMK_Average-Regular_Approach1,43,7,0,16,46,298,298
MMK_Average-Regular_Approach1,19,2,0,16,46,298,298
MMK_Average-Regular_Approach1,25,3,0,16,46,298,298
MMK_Average-Regular_Approach1,31,4,0,16,46,298,298
MNW_Average-Regular_Approach1,49,9,0,14,49,270,270
MNW_Average-Regular_Approach1,29,3,0,14,49,270,270
MNW_Average-Regular_Approach1,37,4,0,14,49,270,270
MNW_Average-Regular_Approach1,12,1,0,14,49,270,270
MNW_Average-Regular_Approach1,21,2,0,14,49,270,270
MNW_Average-Regular_Approach1,41,5,0,14,49,270,270
MNW_Average-Regular_Approach1,43,6,0,14,49,270,270
MNW_Average-Regular_Approach1,47,8,0,14,49,270,270
MNW_Average-Regular_Approach1,45,7,0,14,49,270,270
MP_Average-Regular_Approach1,18,3,0,6,18,182,182
MP_Average-Regular_Approach1,6,1,0,6,18,182,182
MP_Average-Regular_Approach1,12,2,0,6,18,182,182
MY_Average-Regular_Approach1,11,2,0,4,11,198,198
MY_Average-Regular_Approach1,6,1,0,4,11,198,198
NB_Average-Regular_Approach1,13,3,0,5,13,202,202
NB_Average-Regular_Approach1,7,1,0,5,13,202,202
NB_Average-Regular_Approach1,11,2,0,5,13,202,202
ND_Average-Regular_Approach1,12,2,0,4,12,192,192
ND_Average-Regular_Approach1,8,1,0,4,12,192,192
NJY_Average-Regular_Approach1,33,4,0,12,40,260,260
NJY_Average-Regular_Approach1,15,1,0,12,40,260,260
NJY_Average-Regular_Approach1,23,2,0,12,40,260,260
NJY_Average-Regular_Approach1,30,3,0,12,40,260,260
NPP_Average-Regular_Approach1,13,3,0,5,13,264,264
NPP_Average-Regular_Approach1,7,1,0,5,13,264,264
NPP_Average-Regular_Approach1,11,2,0,5,13,264,264
NUO_Average-Regular_Approach1,20,7,0,9,22,260,260
NUO_Average-Regular_Approach1,18,6,0,9,22,260,260
NUO_Average-Regular_Approach1,14,4,0,9,22,260,260
NUO_Average-Regular_Approach1,6,1,0,9,22,260,260
NUO_Average-Regular_Approach1,9,2,0,9,22,260,260
NUO_Average-Regular_Approach1,16,5,0,9,22,260,260
NUO_Average-Regular_Approach1,12,3,0,9,22,260,260
NWF_Average-Regular_Approach1,35,7,0,10,35,278,278
NWF_Average-Regular_Approach1,17,2,0,10,35,278,278
NWF_Average-Regular_Approach1,25,3,0,10,35,278,278
NWF_Average-Regular_Approach1,9,1,0,10,35,278,278
NWF_Average-Regular_Approach1,28,4,0,10,35,278,278
NWF_Average-Regular_Approach1,31,5,0,10,35,278,278
NWF_Average-Regular_Approach1,33,6,0,10,35,278,278
NWW_Average-Regular_Approach1,49,9,0,14,49,248,248
NWW_Average-Regular_Approach1,33,4,0,14,49,248,248
NWW_Average-Regular_Approach1,17,2,0,14,49,248,248
NWW_Average-Regular_Approach1,25,3,0,14,49,248,248
NWW_Average-Regular_Approach1,41,5,0,14,49,248,248
NWW_Average-Regular_Approach1,9,1,0,14,49,248,248
NWW_Average-Regular_Approach1,43,6,0,14,49,248,248
NWW_Average-Regular_Approach1,47,8,0,14,49,248,248
NWW_Average-Regular_Approach1,45,7,0,14,49,248,248
O_Average-Regular_Approach1,4,2,0,2,4,76,76
O_Average-Regular_Approach1,2,1,0,2,4,76,76
OGB_Average-Regular_Approach1,9,2,0,4,9,238,238
OGB_Average-Regular_Approach1,5,1,0,4,9,238,238
OGW_Average-Regular_Approach1,21,4,0,6,21,216,216
OGW_Average-Regular_Approach1,9,1,0,6,21,216,216
OGW_Average-Regular_Approach1,17,2,0,6,21,216,216
OGW_Average-Regular_Approach1,19,3,0,6,21,216,216
OMJ_Average-Regular_Approach1,20,4,0,8,20,224,224
OMJ_Average-Regular_Approach1,13,2,0,8,20,224,224
OMJ_Average-Regular_Approach1,7,1,0,8,20,224,224
OMJ_Average-Regular_Approach1,17,3,0,8,20,224,224
OPN_Average-Regular_Approach1,10,2,0,4,12,244,244
OPN_Average-Regular_Approach1,8,1,0,4,12,244,244
PAZ_Average-Regular_Approach1,16,3,0,5,16,210,210
PAZ_Average-Regular_Approach1,10,1,0,5,16,210,210
PAZ_Average-Regular_Approach1,14,2,0,5,16,210,210
PJW_Average-Regular_Approach1,43,9,0,14,43,214,214
PJW_Average-Regular_Approach1,21,2,0,14,43,214,214
PJW_Average-Regular_Approach1,12,1,0,14,43,214,214
PJW_Average-Regular_Approach1,27,3,0,14,43,214,214
PJW_Average-Regular_Approach1,31,4,0,14,43,214,214
PJW_Average-Regular_Approach1,37,6,0,14,43,214,214
PJW_Average-Regular_Approach1,39,7,0,14,43,214,214
PJW_Average-Regular_Approach1,41,8,0,14,43,214,214
PJW_Average-Regular_Approach1,35,5,0,14,43,214,214
PQW_Average-Regular_Approach1,29,7,0,9,29,236,236
PQW_Average-Regular_Approach1,17,2,0,9,29,236,236
PQW_Average-Regular_Approach1,9,1,0,9,29,236,236
PQW_Average-Regular_Approach1,23,4,0,9,29,236,236
PQW_Average-Regular_Approach1,27,6,0,9,29,236,236
PQW_Average-Regular_Approach1,25,5,0,9,29,236,236
PQW_Average-Regular_Approach1,21,3,0,9,29,236,236
PYE_Average-Regular_Approach1,13,3,0,5,13,288,288
PYE_Average-Regular_Approach1,11,2,0,5,13,288,288
PYE_Average-Regular_Approach1,6,1,0,5,13,288,288
PYO_Average-Regular_Approach1,14,4,0,6,14,254,254
PYO_Average-Regular_Approach1,5,1,0,6,14,254,254
PYO_Average-Regular_Approach1,9,2,0,6,14,254,254
PYO_Average-Regular_Approach1,12,3,0,6,14,254,254
Q_Average-Regular_Approach1,4,2,0,2,4,86,86
Q_Average-Regular_Approach1,2,1,0,2,4,86,86
QFN_Average-Regular_Approach1,24,5,0,9,24,294,294
QFN_Average-Regular_Approach1,8,1,0,9,24,294,294
QFN_Average-Regular_Approach1,18,3,0,9,24,294,294
QFN_Average-Regular_Approach1,22,4,0,9,24,294,294
QFN_Average-Regular_Approach1,14,2,0,9,24,294,294
QFR_Average-Regular_Approach1,24,7,0,10,24,284,284
QFR_Average-Regular_Approach1,7,1,0,10,24,284,284
QFR_Average-Regular_Approach1,11,2,0,10,24,284,284
QFR_Average-Regular_Approach1,22,6,0,10,24,284,284
QFR_Average-Regular_Approach1,20,5,0,10,24,284,284
QFR_Average-Regular_Approach1,15,3,0,10,24,284,284
QFR_Average-Regular_Approach1,18,4,0,10,24,284,284
QLZ_Average-Regular_Approach1,8,3,0,4,8,206,206
QLZ_Average-Regular_Approach1,4,1,0,4,8,206,206
