letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates_x,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
XXW_Average-Regular_Approach1,8,2,0,4,8,74.5,149,2.0,6.90689059560854,3.2275215573287,806,0.5,1.0,1.0,0.7,Approach1,LSP
XXW_Average-Regular_Approach1,4,1,0,4,8,74.5,149,2.0,6.90689059560854,3.2275215573287,806,0.5,1.0,1.0,0.7,Approach1,LSP
YXW_Average-Regular_Approach1,8,2,0,4,8,69.0,138,1.98214285714286,6.79441586635012,3.21059680084201,695,0.5,1.0,1.0,0.7,Approach1,LSP
YXW_Average-Regular_Approach1,4,1,0,4,8,69.0,138,1.98214285714286,6.79441586635012,3.21059680084201,695,0.5,1.0,1.0,0.7,Approach1,LSP
ANC_arial_Approach1,4,1,0,2,4,28.0,56,2.0,6.22881869049589,3.13019557420468,677,0.5,0.9,1.0,0.6,Approach1,LSP
AW_arial_Approach1,4,1,0,2,4,20.0,40,2.0,5.58496250072116,3.2451111490821,261,0.5,0.8,1.0,0.3,Approach1,LSP
AXF_arial_Approach1,4,1,0,2,4,25.0,50,2.04,5.6724253419715,3.14801223639887,394,0.6,0.8,1.0,0.4,Approach1,LSP
BLC_arial_Approach1,8,1,0,3,8,37.5,75,2.04878048780488,6.39231742277876,3.13393606773961,676,0.6,0.9,1.0,0.6,Approach1,LSP
BTM_arial_Approach1,8,2,0,3,8,33.5,67,2.06896551724138,5.90689059560852,3.10032711434271,476,0.6,0.9,1.0,0.5,Approach1,LSP
BTM_arial_Approach1,6,1,0,3,8,33.5,67,2.06896551724138,5.90689059560852,3.10032711434271,476,0.6,0.9,1.0,0.5,Approach1,LSP
CBS_arial_Approach1,4,1,0,2,4,58.0,116,2.06451612903226,6.58496250072116,3.12693769778329,920,0.6,1.0,1.0,0.8,Approach1,LSP
CRK_arial_Approach1,4,1,0,2,4,41.0,82,2.08219178082192,6.24792751344359,3.16962121441771,703,0.6,0.9,1.0,0.7,Approach1,LSP
CWC_arial_Approach1,4,1,0,2,4,44.0,88,2.02127659574468,6.56985560833095,3.20341906174357,567,0.6,1.0,1.0,0.5,Approach1,LSP
DAQ_arial_Approach1,4,2,0,2,4,42.0,84,2.11267605633803,6.22881869049589,3.20340672825122,705,0.6,0.9,1.0,0.7,Approach1,LSP
DAQ_arial_Approach1,2,1,0,2,4,42.0,84,2.11267605633803,6.22881869049589,3.20340672825122,705,0.6,0.9,1.0,0.7,Approach1,LSP
DMF_arial_Approach1,5,1,0,2,5,28.5,57,2.0,5.90689059560852,3.03469594927776,373,0.5,0.9,1.0,0.4,Approach1,LSP
DMP_arial_Approach1,4,1,0,2,4,36.0,72,2.0377358490566,5.75488750216347,3.11563739299641,357,0.6,0.9,1.0,0.4,Approach1,LSP
EVG_arial_Approach1,8,1,0,2,8,34.0,68,2.0253164556962,6.32192809488736,3.12813981001945,533,0.6,0.9,1.0,0.5,Approach1,LSP
GM_arial_Approach1,9,2,0,3,9,27.5,55,2.0,5.75488750216347,3.18205503907294,326,0.5,0.9,1.0,0.3,Approach1,LSP
GM_arial_Approach1,7,1,0,3,9,27.5,55,2.0,5.75488750216347,3.18205503907294,326,0.5,0.9,1.0,0.3,Approach1,LSP
GMU_arial_Approach1,6,1,0,2,6,38.0,76,2.0,6.4262647547021,3.15452840671852,392,0.5,0.9,1.0,0.4,Approach1,LSP
GTB_arial_Approach1,4,1,0,2,4,44.5,89,2.03076923076923,6.04439411935846,3.11460811062812,526,0.6,0.9,1.0,0.5,Approach1,LSP
GWG_arial_Approach1,4,1,0,2,4,52.5,105,2.0,6.58496250072116,3.18937824989878,607,0.5,1.0,1.0,0.6,Approach1,LSP
JCD_arial_Approach1,4,1,0,2,4,40.5,81,2.05714285714286,6.16992500144232,3.11267321364139,770,0.6,0.9,1.0,0.7,Approach1,LSP
JXD_arial_Approach1,4,1,0,2,4,37.0,74,2.08163265306122,5.6724253419715,3.12952650846067,493,0.6,0.8,1.0,0.5,Approach1,LSP
KIW_arial_Approach1,8,2,0,4,8,22.5,45,2.0,5.58496250072116,3.14885931307764,271,0.5,0.8,1.0,0.3,Approach1,LSP
KIW_arial_Approach1,4,1,0,4,8,22.5,45,2.0,5.58496250072116,3.14885931307764,271,0.5,0.8,1.0,0.3,Approach1,LSP
LZT_arial_Approach1,2,1,0,1,2,14.0,28,1.94117647058824,5.04439411935846,2.75270766767844,253,0.5,0.8,0.9,0.3,Approach1,LSP
LWC_arial_Approach1,8,2,0,4,8,31.0,62,2.0,6.40939093613771,3.15983593526927,522,0.5,0.9,1.0,0.5,Approach1,LSP
