letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
SOS_Average-Regular_Approach2,8,2,0,6,13,52.5,105,2.15384615384615,3.80735492205761,2.54952345959783,325,0.6,0.6,0.8,0.3,Approach2,LSP
SOS_Average-Regular_Approach2,11,3,0,6,13,52.5,105,2.15384615384615,3.80735492205761,2.54952345959783,325,0.6,0.6,0.8,0.3,Approach2,LSP
SVY_Average-Regular_Approach2,4,1,0,2,4,50.0,100,1.77777777777778,3.0,2.75,48,0.4,0.5,0.9,0.1,Approach2,LSP
SYZ_Average-Regular_Approach2,4,1,0,2,4,45.5,91,1.71428571428571,2.58496250072116,2.25162916738782,55,0.4,0.4,0.7,0.1,Approach2,LSP
TA_Average-Regular_Approach2,15,3,0,5,15,40.0,80,2.0,3.58496250072116,2.85538854220753,253,0.5,0.5,0.9,0.3,Approach2,LSP
TA_Average-Regular_Approach2,11,1,0,5,15,40.0,80,2.0,3.58496250072116,2.85538854220753,253,0.5,0.5,0.9,0.3,Approach2,LSP
TA_Average-Regular_Approach2,13,2,0,5,15,40.0,80,2.0,3.58496250072116,2.85538854220753,253,0.5,0.5,0.9,0.3,Approach2,LSP
TIA_Average-Regular_Approach2,11,2,0,6,13,48.0,96,2.0,3.4594316186373,2.36852252772821,148,0.5,0.5,0.8,0.2,Approach2,LSP
TIA_Average-Regular_Approach2,7,1,0,6,13,48.0,96,2.0,3.4594316186373,2.36852252772821,148,0.5,0.5,0.8,0.2,Approach2,LSP
SD_Average-Regular_Approach2,5,2,0,2,5,34.5,69,1.83333333333333,3.4594316186373,2.91397707318275,87,0.5,0.5,0.9,0.1,Approach2,LSP
SD_Average-Regular_Approach2,3,1,0,2,5,34.5,69,1.83333333333333,3.4594316186373,2.91397707318275,87,0.5,0.5,0.9,0.1,Approach2,LSP
SDF_Average-Regular_Approach2,23,5,0,9,23,58.5,117,2.1,4.39231742277876,2.96973156654413,383,0.6,0.7,1.0,0.4,Approach2,LSP
SDF_Average-Regular_Approach2,7,1,0,9,23,58.5,117,2.1,4.39231742277876,2.96973156654413,383,0.6,0.7,1.0,0.4,Approach2,LSP
SDF_Average-Regular_Approach2,16,3,0,9,23,58.5,117,2.1,4.39231742277876,2.96973156654413,383,0.6,0.7,1.0,0.4,Approach2,LSP
SDF_Average-Regular_Approach2,12,2,0,9,23,58.5,117,2.1,4.39231742277876,2.96973156654413,383,0.6,0.7,1.0,0.4,Approach2,LSP
SDF_Average-Regular_Approach2,20,4,0,9,23,58.5,117,2.1,4.39231742277876,2.96973156654413,383,0.6,0.7,1.0,0.4,Approach2,LSP
TRD_Average-Regular_Approach2,21,4,0,7,21,64.5,129,2.1,4.39231742277876,3.08232813685843,322,0.6,0.7,1.0,0.3,Approach2,LSP
TRD_Average-Regular_Approach2,8,1,0,7,21,64.5,129,2.1,4.39231742277876,3.08232813685843,322,0.6,0.7,1.0,0.3,Approach2,LSP
TRD_Average-Regular_Approach2,14,2,0,7,21,64.5,129,2.1,4.39231742277876,3.08232813685843,322,0.6,0.7,1.0,0.3,Approach2,LSP
TRD_Average-Regular_Approach2,19,3,0,7,21,64.5,129,2.1,4.39231742277876,3.08232813685843,322,0.6,0.7,1.0,0.3,Approach2,LSP
TS_Average-Regular_Approach2,4,2,0,2,4,40.5,81,1.8,3.16992500144231,2.41938194564637,108,0.4,0.5,0.8,0.1,Approach2,LSP
TS_Average-Regular_Approach2,2,1,0,2,4,40.5,81,1.8,3.16992500144231,2.41938194564637,108,0.4,0.5,0.8,0.1,Approach2,LSP
TSM_Average-Regular_Approach2,15,3,0,5,15,59.5,119,2.0,3.58496250072116,3.0220552088742,246,0.5,0.5,1.0,0.3,Approach2,LSP
TSM_Average-Regular_Approach2,8,1,0,5,15,59.5,119,2.0,3.58496250072116,3.0220552088742,246,0.5,0.5,1.0,0.3,Approach2,LSP
TSM_Average-Regular_Approach2,12,2,0,5,15,59.5,119,2.0,3.58496250072116,3.0220552088742,246,0.5,0.5,1.0,0.3,Approach2,LSP
TU_Average-Regular_Approach2,4,1,0,2,4,45.5,91,1.71428571428571,2.58496250072116,1.79248125036058,51,0.4,0.4,0.6,0.1,Approach2,LSP
UA_Average-Regular_Approach2,13,2,0,5,13,45.0,90,2.14285714285714,3.90689059560852,2.57355726227519,319,0.6,0.6,0.8,0.3,Approach2,LSP
UA_Average-Regular_Approach2,8,1,0,5,13,45.0,90,2.14285714285714,3.90689059560852,2.57355726227519,319,0.6,0.6,0.8,0.3,Approach2,LSP
UAV_Average-Regular_Approach2,23,4,0,8,23,62.0,124,2.0,4.16992500144231,2.90576458465545,319,0.5,0.6,0.9,0.3,Approach2,LSP
UAV_Average-Regular_Approach2,15,2,0,8,23,62.0,124,2.0,4.16992500144231,2.90576458465545,319,0.5,0.6,0.9,0.3,Approach2,LSP
UAV_Average-Regular_Approach2,8,1,0,8,23,62.0,124,2.0,4.16992500144231,2.90576458465545,319,0.5,0.6,0.9,0.3,Approach2,LSP
