letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates_x,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
NWW_Average-Regular_Approach1,18,4,0,10,22,61.5,123,1.98214285714286,6.79441586635012,3.23153578639523,722,0.5,1.0,1.0,0.7,Approach1,LSP
NWW_Average-Regular_Approach1,20,5,0,10,22,61.5,123,1.98214285714286,6.79441586635012,3.23153578639523,722,0.5,1.0,1.0,0.7,Approach1,LSP
OGW_Average-Regular_Approach1,8,2,0,4,8,51.5,103,2.02666666666667,6.24792751344359,3.12821373028082,463,0.6,0.9,1.0,0.5,Approach1,LSP
OGW_Average-Regular_Approach1,4,1,0,4,8,51.5,103,2.02666666666667,6.24792751344359,3.12821373028082,463,0.6,0.9,1.0,0.5,Approach1,LSP
OPN_Average-Regular_Approach1,4,1,0,2,4,59.5,119,2.02816901408451,6.16992500144232,3.19444079720214,587,0.6,0.9,1.0,0.6,Approach1,LSP
PJW_Average-Regular_Approach1,8,2,0,4,8,52.5,105,2.0,6.22881869049589,3.20246026791002,487,0.5,0.9,1.0,0.5,Approach1,LSP
PJW_Average-Regular_Approach1,4,1,0,4,8,52.5,105,2.0,6.22881869049589,3.20246026791002,487,0.5,0.9,1.0,0.5,Approach1,LSP
PQW_Average-Regular_Approach1,4,1,0,2,4,57.5,115,2.02247191011236,6.49185309632966,3.13645211766145,626,0.6,1.0,1.0,0.6,Approach1,LSP
TIA_Average-Regular_Approach1,4,1,0,2,4,48.0,96,2.0327868852459,5.95419631038687,3.12126529677474,429,0.6,0.9,1.0,0.4,Approach1,LSP
TLV_Average-Regular_Approach1,4,1,0,2,4,54.5,109,2.0,6.02236781302846,3.19439294844587,306,0.5,0.9,1.0,0.3,Approach1,LSP
UAV_Average-Regular_Approach1,4,1,0,2,4,62.0,124,2.02298850574713,6.45943161863731,3.14752496793334,464,0.6,1.0,1.0,0.5,Approach1,LSP
UIN_Average-Regular_Approach1,4,1,0,2,4,55.0,110,2.0,6.44294349584872,3.12259977108887,562,0.5,0.9,1.0,0.5,Approach1,LSP
VNM_Average-Regular_Approach1,14,3,0,6,14,67.0,134,2.01503759398496,7.06608919045778,3.11516218949238,844,0.6,1.0,1.0,0.8,Approach1,LSP
VNM_Average-Regular_Approach1,6,1,0,6,14,67.0,134,2.01503759398496,7.06608919045778,3.11516218949238,844,0.6,1.0,1.0,0.8,Approach1,LSP
VNM_Average-Regular_Approach1,10,2,0,6,14,67.0,134,2.01503759398496,7.06608919045778,3.11516218949238,844,0.6,1.0,1.0,0.8,Approach1,LSP
VQ_Average-Regular_Approach1,4,1,0,2,4,37.0,74,1.96428571428571,5.78135971352465,3.12404636887443,308,0.5,0.9,1.0,0.3,Approach1,LSP
VUJ_Average-Regular_Approach1,4,1,0,2,4,56.0,112,1.97560975609756,6.33985000288461,3.19868421811501,447,0.5,0.9,1.0,0.4,Approach1,LSP
WD_Average-Regular_Approach1,8,2,0,4,8,42.5,85,1.96875,5.97727992349992,3.25259843453502,324,0.5,0.9,1.0,0.3,Approach1,LSP
WD_Average-Regular_Approach1,4,1,0,4,8,42.5,85,1.96875,5.97727992349992,3.25259843453502,324,0.5,0.9,1.0,0.3,Approach1,LSP
WF_Average-Regular_Approach1,8,2,0,4,8,45.5,91,1.97260273972603,6.16992500144232,3.16401540018348,418,0.5,0.9,1.0,0.4,Approach1,LSP
WF_Average-Regular_Approach1,4,1,0,4,8,45.5,91,1.97260273972603,6.16992500144232,3.16401540018348,418,0.5,0.9,1.0,0.4,Approach1,LSP
WFD_Average-Regular_Approach1,8,2,0,4,8,66.0,132,2.0,6.53915881110804,3.26616116150254,624,0.5,1.0,1.0,0.6,Approach1,LSP
WFD_Average-Regular_Approach1,4,1,0,4,8,66.0,132,2.0,6.53915881110804,3.26616116150254,624,0.5,1.0,1.0,0.6,Approach1,LSP
WG_Average-Regular_Approach1,8,2,0,4,8,44.0,88,1.9746835443038,6.28540221886226,3.08108112182187,436,0.5,0.9,1.0,0.4,Approach1,LSP
WG_Average-Regular_Approach1,4,1,0,4,8,44.0,88,1.9746835443038,6.28540221886226,3.08108112182187,436,0.5,0.9,1.0,0.4,Approach1,LSP
WI_Average-Regular_Approach1,8,2,0,4,8,35.5,71,1.96551724137931,5.83289001416474,3.16867580051852,322,0.5,0.9,1.0,0.3,Approach1,LSP
WI_Average-Regular_Approach1,4,1,0,4,8,35.5,71,1.96551724137931,5.83289001416474,3.16867580051852,322,0.5,0.9,1.0,0.3,Approach1,LSP
WJ_Average-Regular_Approach1,8,2,0,4,8,35.5,71,1.96363636363636,5.75488750216347,3.18786210651289,273,0.5,0.9,1.0,0.3,Approach1,LSP
WJ_Average-Regular_Approach1,4,1,0,4,8,35.5,71,1.96363636363636,5.75488750216347,3.18786210651289,273,0.5,0.9,1.0,0.3,Approach1,LSP
WM_Average-Regular_Approach1,12,3,0,6,12,48.0,96,1.97560975609756,6.33985000288461,3.15472194742548,574,0.5,0.9,1.0,0.5,Approach1,LSP
WM_Average-Regular_Approach1,4,1,0,6,12,48.0,96,1.97560975609756,6.33985000288461,3.15472194742548,574,0.5,0.9,1.0,0.5,Approach1,LSP
WM_Average-Regular_Approach1,8,2,0,6,12,48.0,96,1.97560975609756,6.33985000288461,3.15472194742548,574,0.5,0.9,1.0,0.5,Approach1,LSP
WP_Average-Regular_Approach1,8,2,0,4,8,40.5,81,2.0,5.97727992349992,3.15416720013682,368,0.5,0.9,1.0,0.4,Approach1,LSP
WP_Average-Regular_Approach1,4,1,0,4,8,40.5,81,2.0,5.97727992349992,3.15416720013682,368,0.5,0.9,1.0,0.4,Approach1,LSP
WPG_Average-Regular_Approach1,8,2,0,4,8,62.5,125,2.0,6.58496250072116,3.15256338287865,579,0.5,1.0,1.0,0.6,Approach1,LSP
WPG_Average-Regular_Approach1,4,1,0,4,8,62.5,125,2.0,6.58496250072116,3.15256338287865,579,0.5,1.0,1.0,0.6,Approach1,LSP
WQ_Average-Regular_Approach1,8,2,0,4,8,40.5,81,1.97142857142857,6.10852445677816,3.16802579048555,388,0.5,0.9,1.0,0.4,Approach1,LSP
WQ_Average-Regular_Approach1,4,1,0,4,8,40.5,81,1.97142857142857,6.10852445677816,3.16802579048555,388,0.5,0.9,1.0,0.4,Approach1,LSP
WW_Average-Regular_Approach1,16,4,0,8,16,38.0,76,1.97368421052632,6.22881869049589,3.17179019236463,426,0.5,0.9,1.0,0.4,Approach1,LSP
WW_Average-Regular_Approach1,4,1,0,8,16,38.0,76,1.97368421052632,6.22881869049589,3.17179019236463,426,0.5,0.9,1.0,0.4,Approach1,LSP
WW_Average-Regular_Approach1,8,2,0,8,16,38.0,76,1.97368421052632,6.22881869049589,3.17179019236463,426,0.5,0.9,1.0,0.4,Approach1,LSP
WW_Average-Regular_Approach1,12,3,0,8,16,38.0,76,1.97368421052632,6.22881869049589,3.17179019236463,426,0.5,0.9,1.0,0.4,Approach1,LSP
WWA_Average-Regular_Approach1,16,4,0,8,16,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
WWA_Average-Regular_Approach1,12,3,0,8,16,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
WWA_Average-Regular_Approach1,4,1,0,8,16,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
WWA_Average-Regular_Approach1,8,2,0,8,16,56.0,112,2.0,6.71424551766611,3.20890768695593,613,0.5,1.0,1.0,0.6,Approach1,LSP
XWI_Average-Regular_Approach1,8,2,0,4,8,63.5,127,1.98,6.62935662007962,3.22458820064438,629,0.5,1.0,1.0,0.6,Approach1,LSP
XWI_Average-Regular_Approach1,4,1,0,4,8,63.5,127,1.98,6.62935662007962,3.22458820064438,629,0.5,1.0,1.0,0.6,Approach1,LSP
